use	[(1051, 29), (1052, 5), (1053, 2), (1054, 20), (1056, 29), (1057, 2), (1058, 40), (1060, 7), (1062, 16.5), (1063, 8), (1064, 15), (1065, 28), (1066, 14.5), (1067, 7), (1068, 34.5), (1070, 10), (1072, 15), (1073, 30), (1074, 7), (1075, 23.5), (1076, 16), (1078, 7), (1079, 7), (1081, 11), (1082, 7), (1084, 23.5), (1085, 1), (1086, 39), (1087, 28), (1088, 26), (1089, 13), (1090, 15), (1091, 7), (1092, 14), (1093, 42), (1095, 7), (1096, 12), (1099, 22), (1100, 7)]
http	[(1051, 23.5), (1052, 26), (1053, 2), (1054, 19), (1055, 2), (1056, 23.5), (1057, 3), (1058, 49), (1060, 17), (1062, 1), (1063, 2), (1064, 5), (1065, 30), (1066, 3), (1068, 6), (1069, 2), (1070, 1), (1072, 5), (1073, 29), (1074, 9), (1075, 7), (1076, 5), (1078, 21), (1079, 41), (1081, 1), (1082, 9), (1084, 7), (1086, 45), (1087, 3), (1089, 2), (1090, 5), (1091, 10), (1093, 31), (1095, 9), (1096, 8), (1097, 7), (1099, 21), (1100, 13)]
instead	[(1051, 3), (1056, 3), (1062, 1), (1063, 1), (1065, 2), (1066, 3), (1068, 3), (1070, 1), (1073, 3), (1075, 1), (1081, 1), (1084, 1), (1087, 2), (1092, 1), (1099, 3)]
of	[(1051, 47), (1052, 8), (1053, 2), (1054, 25), (1055, 2), (1056, 47), (1057, 12), (1058, 54), (1059, 2), (1060, 21), (1061, 2), (1062, 8.5), (1063, 30), (1064, 29), (1065, 46), (1066, 17), (1067, 3), (1068, 55.5), (1069, 2), (1070, 8.5), (1072, 28), (1073, 43), (1074, 30), (1075, 23), (1076, 28), (1077, 2), (1078, 21), (1079, 23), (1081, 6), (1082, 30), (1083, 2), (1084, 23), (1085, 8), (1086, 43), (1087, 21), (1088, 73.5), (1089, 14), (1090, 29), (1091, 22), (1092, 43), (1093, 54), (1094, 3), (1095, 30), (1096, 31.5), (1097, 2), (1098, 2), (1099, 50), (1100, 29)]
not	[(1051, 23.0), (1052, 3), (1054, 7), (1056, 23.0), (1058, 9), (1060, 4), (1062, 5), (1063, 6), (1064, 12.5), (1065, 16), (1066, 9.5), (1068, 14), (1070, 5), (1072, 12.5), (1073, 18), (1074, 7), (1075, 10), (1076, 10), (1078, 4), (1079, 1), (1081, 4), (1082, 7), (1083, 1), (1084, 10), (1086, 3), (1087, 11), (1088, 28.5), (1089, 3), (1090, 12.5), (1091, 4), (1092, 2), (1093, 10), (1095, 7), (1096, 7), (1099, 14), (1100, 7)]
select	[(1051, 3), (1056, 3), (1057, 2), (1058, 1), (1060, 2), (1062, 4), (1065, 2), (1066, 2), (1068, 1), (1070, 3), (1073, 2), (1074, 2), (1075, 5), (1078, 2), (1081, 3), (1082, 2), (1084, 5), (1087, 4), (1091, 2), (1093, 1), (1095, 3), (1096, 2), (1099, 2), (1100, 2)]
column_nam	[(1051, 2.5), (1056, 2.5), (1066, 2.5)]
from	[(1051, 7), (1052, 1), (1053, 2), (1054, 3), (1056, 7), (1057, 7), (1058, 8), (1060, 6), (1062, 2), (1063, 4), (1064, 2), (1065, 6), (1066, 5), (1067, 1), (1068, 2), (1070, 2), (1072, 4), (1073, 6), (1074, 6), (1075, 6), (1076, 2), (1078, 6), (1079, 1), (1081, 2), (1082, 6), (1084, 6), (1086, 7), (1087, 5), (1088, 4), (1089, 3), (1090, 2), (1091, 6), (1092, 7), (1093, 10), (1095, 6), (1096, 5), (1099, 4), (1100, 6)]
table_nam	[(1051, 1), (1056, 1), (1066, 1)]
where	[(1051, 3), (1052, 1), (1054, 1), (1056, 3), (1058, 1), (1060, 1), (1063, 2), (1064, 1), (1065, 2), (1066, 3), (1068, 3), (1072, 1), (1073, 2), (1074, 1), (1076, 1), (1078, 1), (1079, 1), (1082, 1), (1083, 2), (1086, 1), (1089, 2), (1090, 1), (1091, 1), (1093, 1), (1095, 1), (1096, 1), (1099, 3), (1100, 1)]
